MBC [IDX];Last Successful Poll;IP;Registration Status Group;CM Score;CM DS Avg Pwr;CM US Avg Pwr;CM DS Avg MER;CM US Avg MER;CM Uncorr Codewords;CM Corr Codewords;Flap Ins;Flap Power Adjustment;Flap Total Num;Flap Miss/Hit Ratio;CM Jitter;CM Latency;Packet Loss Rate;CM UpTime;Status Resets;CM DS Ch Set;CM US Ch Set;Memory Utilization;Processor Utilization;Device Name
B4:08:F5:F9:4E:B7;08-04-2020 08:36;11.136.62.37;W-Online;100;9.05;39.5;47.18;45.1;0;0;0;0;0;0;0;6;0;2585426;0;24 bonding;OFDM;34;4;CM1
F8:08:4F:73:09:69;08-04-2020 08:36;11.130.0.203;W-Online;100;9.45;40.3;47.18;41.1;0;0;0;0;98;0;10;9;0;4462181;0;24 bonding;OFDM;34;14;CM1
F8:08:4F:72:B5:2B;08-04-2020 08:36;11.130.0.14;W-Online;100;3.84;39.5;45.42;33.6;0;0;0;22;296;0;1;6;0;3063412;0;32 bonding;OFDM;36;3;CM1
B4:2B:8C:83:5E:78;08-04-2020 08:36;11.130.0.208;W-Online;100;6.24;44.2;47.31;42.1;0;0;1;19;1;0;0;6;0;132709;0;24ch;QAM;64;4;CM1
B4:2B:8C:83:5E:F0;08-04-2020 08:36;11.130.8.40;W-Online;100;7.21;39.4;46.46;42.1;0;0;1;23;167;0;1;6;0;639070;0;24ch;QAM;64;7;CM1
F8:08:4F:73:08:5F;08-04-2020 08:36;11.116.115.203;W-Online;100;-1.97;44.5;44.15;38.8;0;0;3;29;7;0;1;7;0;2651661;0;32 bonding;OFDM;36;9;CM1
B4:2B:8C:83:62:2C;08-04-2020 08:36;11.130.8.171;W-Online;100;9.86;41.1;46.67;45.1;0;0;2;159;11;0;0;6;0;11506223;3;24ch;QAM;65;3;CM1
B4:2B:8C:83:63:3B;08-04-2020 08:36;11.130.8.72;W-Online;100;4.58;45.7;45.71;45.1;0;0;3;446;56;0;1;6;0;8798897;0;24ch;QAM;64;4;CM1
F8:08:4F:73:07:CC;08-04-2020 08:36;11.130.2.113;W-Online;100;-1.34;37.7;44.69;42.7;0;0;0;15;3209;0.151515;1;7;0;332993;0;Mix Bonding;OFDM;37;10;CM1
F8:08:4F:FE:19:BD;08-04-2020 08:36;11.130.0.62;W-Online;100;0.19;43.8;46.24;43.3;0.01;0.01;2;9;0;0;2;8;0;3325954;0;24 bonding;OFDM;34;6;CM1
B4:2B:8C:83:67:3C;08-04-2020 08:36;11.130.1.171;P-Online;100;2.99;49.9;47.44;42.7;0.01;0.01;1;407;3;0;1;8;0;979311;0;24ch;QAM;64;10;CM1
F8:BB:05:60:30:D8;08-04-2020 08:36;11.116.115.170;W-Online;100;2.22;45;46.42;38.3;0;0.01;0;3;3;0;1;6;0;928820;0;24 bonding;OFDM;32;4;CM1
B4:2B:8C:83:80:9E;08-04-2020 08:36;11.130.1.84;W-Online;100;6.99;38.7;45.92;40.7;0.01;0;2;40;885;0;0;6;0;11334917;0;24ch;QAM;64;6;CM1
F8:08:4F:73:1E:2B;08-04-2020 08:36;11.130.0.197;W-Online;100;-0.29;42.8;43.4;40.7;0;0.05;0;9;4651;0;4;7;0;310331;0;32 bonding;OFDM;35;9;CM1
F8:08:4F:73:12:22;08-04-2020 08:36;11.130.8.20;W-Online;100;6.33;37.3;45.36;33.7;0;0;0;9;42;0;12;10;0;2486861;0;32 bonding;OFDM;36;5;CM1
F8:08:4F:FE:09:99;08-04-2020 08:36;11.130.2.31;W-Online;100;2.41;43;45.76;42.7;0.01;0.01;1;0;86;0;10;9;0;3002237;0;32 bonding;OFDM;36;9;CM1
B4:2B:8C:83:C7:7E;08-04-2020 08:36;11.130.6.114;W-Online;100;7.59;32.7;46.17;34.3;0;0;3;238;389;0;2;7;0;10706704;0;24ch;QAM;65;16;CM1
B4:2B:8C:83:D0:84;08-04-2020 08:36;11.130.8.177;P-Online;100;-2.21;50.9;44.57;34.7;0;0;5;519;611;0;1;7;0;3057508;0;24ch;QAM;64;16;CM1
F8:08:4F:73:09:4D;08-04-2020 08:36;11.116.115.75;W-Online;100;0.82;34.7;44.34;36.5;0;0;0;23;2482;0;13;12;0;1002800;0;Mix Bonding;OFDM;37;7;CM1
F8:BB:05:60:83:3B;08-04-2020 08:36;11.130.8.129;W-Online;100;-0.89;43.5;45.09;39.7;0;0.01;1;0;9;0;1;6;0;729612;0;24 bonding;OFDM;32;3;CM1
F8:BB:05:60:5D:86;08-04-2020 08:36;11.130.1.37;W-Online;95;-3.13;55.8;43.88;28.4;0;0;1;83;969;0;1;6;0;10863796;1;24 bonding;OFDM;39;1;CM1
B4:2B:8C:84:25:B6;08-04-2020 08:36;11.130.7.135;W-Online;100;5.38;42.7;45.86;40.7;0;0.05;1;2970;2953;0;1;7;0;2639350;1;24ch;QAM;64;7;CM1
F8:08:4F:FE:1F:CD;08-04-2020 08:36;11.130.3.12;W-Online;100;1.72;44.8;43.62;41.1;0;0;1;56;37;0;5;8;0;1493811;0;32 bonding;OFDM;35;5;CM1
F8:BB:05:60:D0:5E;08-04-2020 08:36;11.130.0.79;W-Online;100;1.78;44;46.02;39.4;0;0.01;1;0;17;0;2;6;0;13034799;6;24 bonding;OFDM;44;5;CM1
B4:2B:8C:84:27:C0;08-04-2020 08:37;11.130.0.201;W-Online;100;4.8;45;46.48;38.6;0;0.01;1;42;219;0;2;6;0;4278922;0;24ch;QAM;64;8;CM1
B4:2B:8C:84:35:9B;08-04-2020 08:37;11.130.6.175;W-Online;100;-1.65;45.1;42.63;38.8;0;0.05;2;6625;17216;0;8;7;0;4999155;0;24ch;QAM;64;9;CM1
F8:BB:05:61:54:46;08-04-2020 08:37;11.130.1.219;W-Online;100;8.82;40.5;46.71;45.1;0;0;1;0;0;0;3;6;0;10863502;0;24 bonding;OFDM;33;1;CM1
B4:2B:8C:84:35:F4;08-04-2020 08:37;11.130.1.98;W-Online;100;3.29;41.2;46.61;40;0.01;0;2;47;234;0;0;6;0;7121976;0;24ch;QAM;64;14;CM1
B4:2B:8C:84:47:2E;08-04-2020 08:37;11.116.115.232;W-Online;100;7.66;42;46.21;42.1;0;0;2;209;3661;0;0;6;0;11507176;1;24ch;QAM;64;7;CM1
F8:BB:05:60:E0:6B;08-04-2020 08:36;11.130.0.114;W-Online;100;1.38;44;45.47;42.7;0.01;0.01;1;0;37;0;3;7;0;2179323;0;32 bonding;OFDM;36;8;CM1
F8:BB:05:61:5C:B2;08-04-2020 08:37;11.130.7.93;W-Online;100;4.56;41.3;43.99;41.6;0;0;0;0;3;0;12;11;0;46178;0;24 bonding;OFDM;32;7;CM1
B4:2B:8C:8B:43:E4;08-04-2020 08:37;11.130.7.111;W-Online;100;7.76;44.7;47.7;38.8;0;0;1;172;594;0;1;6;0;473823;2;24ch;QAM;64;7;CM1
F8:BB:05:61:5D:CB;08-04-2020 08:37;11.130.1.209;W-Online;100;9.42;40.8;46.61;45.1;0;0;2;2;0;0;7;7;0;7644433;0;24 bonding;OFDM;33;1;CM1
B4:2B:8C:8B:83:B6;08-04-2020 08:37;11.130.0.110;W-Online;100;3.82;46.4;46.19;43.3;0;0;3;49;5601;0;1;7;0;10990309;0;24ch;QAM;64;9;CM1
B4:2B:8C:8C:B5:BB;08-04-2020 08:37;11.116.115.138;W-Online;100;6.86;34.4;46.99;36.2;0;0;5;329;424;0;0;6;0;60657;0;24ch;QAM;64;10;CM1
F8:BB:05:61:5F:E5;08-04-2020 08:37;11.116.115.154;W-Online;100;9.11;42;46.39;45.1;0;0;1;0;0;0;6;8;0;1005009;0;24 bonding;OFDM;32;4;CM1
B4:2B:8C:8C:C8:B6;08-04-2020 08:37;11.130.0.176;W-Online;100;6;47.5;48.3;40.3;0;0;1;52;1616;0;2;6;0;6119912;0;24ch;QAM;65;9;CM1
F8:BB:05:61:60:C5;08-04-2020 08:37;11.136.62.17;W-Online;100;7.27;40.8;47.75;45.1;0;0;1;0;0;0;1;6;0;4626593;1;24 bonding;OFDM;70;28;CM1
B4:2B:8C:8C:DE:66;08-04-2020 08:37;11.130.7.56;W-Online;100;-1.02;44.9;45.46;40;0;0;2;291;7861;0;0;6;0;11334413;0;24ch;QAM;65;6;CM1
B4:2B:8C:8D:06:DB;08-04-2020 08:37;11.116.115.59;W-Online;100;7.75;42.9;47.48;38.8;0;0.01;1;25;259;0;1;6;0;823003;0;24ch;QAM;64;14;CM1
B4:2B:8C:8D:0E:00;08-04-2020 08:37;11.116.115.198;W-Online;100;4.32;37.9;46.39;36.5;0;0.05;1;2088;87315;0;1;6;0;2388764;0;24ch;QAM;64;7;CM1
B4:2B:8C:8D:3B:D0;08-04-2020 08:37;11.130.1.161;W-Online;100;1.74;44.9;47.02;40;0;0.01;1;25;140;0;1;7;0;4466301;0;24ch;QAM;64;6;CM1
F8:BB:05:63:7E:1C;08-04-2020 08:37;11.130.0.81;W-Online;100;7.58;40.8;46.6;44.1;0;0;1;1;0;0;1;6;0;2129337;0;32 bonding;OFDM;35;11;CM1
B4:2B:8C:8D:5E:EE;08-04-2020 08:37;11.130.0.86;W-Online;100;7.62;39.2;46.77;42.7;0;0;3;54;145;0;1;6;0;1958947;1;24ch;QAM;64;10;CM1
F8:BB:05:63:E0:B8;08-04-2020 08:37;11.116.115.221;W-Online;100;7.48;45.5;46.18;40.7;0;0;0;16;281;0;2;6;0;2750327;0;24 bonding;OFDM;33;3;CM1
B4:2B:8C:8D:7F:04;08-04-2020 08:37;11.130.0.66;W-Online;100;1.68;44;46.39;43.3;0;0;2;128;2105;0;1;7;0;5185210;1;24ch;QAM;65;8;CM1
B4:2B:8C:94:E5:BC;08-04-2020 08:37;11.130.8.241;W-Online;100;4.7;39.9;45.76;39.4;0.01;0;1;138591;11472;0;0;6;0;6733588;0;24ch;QAM;64;4;CM1
B4:2B:8C:95:2B:DC;08-04-2020 08:37;11.116.115.11;W-Online;100;4.99;42;43.38;40.3;0;0.05;1;549;6692;0;1;7;0;4224528;0;24ch;QAM;65;11;CM1
F8:BB:05:63:F5:E7;08-04-2020 08:37;11.130.2.215;W-Online;100;5.49;41.3;45.87;39.1;0;0.01;0;79;114;0;0;6;0;1186045;0;24 bonding;OFDM;32;6;CM1
F8:BB:05:63:BD:B0;08-04-2020 08:37;11.116.115.26;W-Online;100;8.02;42.5;46.15;45.1;0;0;2;1;0;0;2;6;0;1897017;0;32 bonding;OFDM;35;7;CM1
F8:BB:05:63:FE:D1;08-04-2020 08:37;11.130.0.233;P-Online;95;8.39;52;46.9;39.4;0;0;1;4;35;0;1;6;0;1973564;0;24 bonding;OFDM;33;5;CM1
B4:2B:8C:95:3C:B0;08-04-2020 08:37;11.130.1.71;W-Online;100;-9.76;50.2;40.24;42.7;0.01;0.01;1;26;4314;0;2;7;0;585180;0;24ch;QAM;64;4;CM1
B4:2B:8C:95:40:34;08-04-2020 08:37;11.130.2.38;W-Online;100;3.42;44.7;45.42;41.1;0;0;4;41;17140;0;1;5;0;9468948;2;24ch;QAM;60;7;CM1
B4:2B:8C:95:4F:B0;08-04-2020 08:37;11.130.8.195;W-Online;100;-2.25;45.9;45.74;42.7;0;0.01;1;183;178;0;1;7;0;6120155;0;24ch;QAM;64;7;CM1
F8:BB:05:63:BE:51;08-04-2020 08:37;11.116.115.243;W-Online;100;5.37;41.8;46.95;45.1;0;0;0;20;29;0;0;5;0;2562944;1;32 bonding;OFDM;36;12;CM1
B4:2B:8C:95:64:10;08-04-2020 08:37;11.130.7.213;W-Online;100;8.39;44.2;47.56;44.1;0;0;1;53;684;0;5;7;0;9673486;0;24ch;QAM;64;3;CM1
B4:2B:8C:95:9B:42;08-04-2020 08:37;11.130.1.81;W-Online;100;0.81;48.5;46.92;39.1;0;0.01;1;25;3234;0;1;6;0;5712625;0;24ch;QAM;64;3;CM1
B4:2B:8C:B0:E9:F8;08-04-2020 08:37;11.130.0.52;P-Online;100;0.66;43.2;45.87;42.7;0.01;0;3;25;113;0;7;6;0;10786790;0;24ch;QAM;64;6;CM1
F8:BB:05:65:45:39;08-04-2020 08:37;11.130.6.129;W-Online;100;3.87;45;45.6;42.7;0.01;0.01;1;0;111;0;2;7;0;1467807;0;32 bonding;OFDM;35;3;CM1
B4:2B:8C:B1:0B:78;08-04-2020 08:37;11.130.7.91;W-Online;100;7.81;40.9;47.37;40.7;0;0;0;45;17;0;1;7;0;6115837;0;24ch;QAM;64;8;CM1
B4:2B:8C:B1:28:E0;08-04-2020 08:37;11.130.6.140;W-Online;100;9.22;42.4;46.92;41.6;0;0;1;52;37;0;0;6;0;6120006;0;24ch;QAM;64;11;CM1
F8:BB:05:65:08:4D;08-04-2020 08:37;11.130.1.139;W-Online;100;8.96;38.5;44.79;40.3;0;0;2;3;19;0;4;6;0;451800;0;32 bonding;OFDM;35;7;CM1
B4:2B:8C:B1:50:90;08-04-2020 08:37;11.130.1.154;W-Online;100;4.19;45.2;46.41;44.1;0.01;0.01;2;5;220;0;1;7;0;6119870;1;24ch;QAM;64;8;CM1
00:11:1B:21:2C:6C;08-04-2020 08:37;11.130.6.166;Online;100;3.4;49.5;40.3;45.1;0;0;72;748;3000;0;1;7;0;5636198;0;N/A;N/A;0;0;CM1
B4:2B:8C:B1:61:90;08-04-2020 08:37;11.130.8.226;W-Online;95;19.91;41.5;42;45.1;0;0;3;632;2036;0;1;6;0;6425164;3;24ch;QAM;64;2;CM1
B4:2B:8C:B1:78:18;08-04-2020 08:37;11.130.7.35;W-Online;100;3.29;41.7;45.38;40;0;0;2;57;2499;0;0;6;0;2571184;0;24ch;QAM;65;5;CM1
B4:2B:8C:B1:7C:98;08-04-2020 08:37;11.130.0.56;W-Online;100;-0.02;48.4;46.22;45.1;0;0;3;246;6541;0;0;6;0;11421797;0;24ch;QAM;64;7;CM1
00:1E:2B:28:B1:B4;08-04-2020 08:37;11.130.6.142;Online;100;0.3;39.5;38.4;35.3;0;0;3;24432;279;0;1;6;0;1866110;0;N/A;N/A;0;0;CM1
F8:BB:05:65:02:34;08-04-2020 08:37;11.130.8.59;W-Online;100;10.1;35.5;47.03;45.2;0;0;0;0;0;0;0;6;0;1721516;4;Mix Bonding;OFDM;37;3;CM1
00:1E:2B:29:06:B6;08-04-2020 08:37;11.130.2.186;Online;100;2.8;46.7;39.9;40.3;0;0;2;84;68;0;7;9;0;2967899;0;N/A;N/A;0;0;CM1
F8:BB:05:65:73:7D;08-04-2020 08:37;11.116.115.178;W-Online;100;6.91;41.3;44.98;43.3;0;0;3;4;14;0;0;6;0;668496;0;32 bonding;OFDM;35;3;CM1
F8:BB:05:65:B9:DF;08-04-2020 08:37;11.130.2.154;P-Online;100;6.73;42.8;46.52;42.7;0.01;0.01;1;14;170;0;2;7;0;11015721;1;24 bonding;OFDM;39;3;CM1
B4:2B:8C:B1:C1:48;08-04-2020 08:37;11.130.7.53;W-Online;100;-1.96;47;44.34;39.4;0;0;2;180;9328;0;7;6;0;2564388;0;24ch;QAM;64;5;CM1
00:1E:2B:84:E2:4B;08-04-2020 08:37;11.136.62.24;Online;100;-4.2;43;39.9;39.1;0;0.01;3;83;1;0;0;6;0;549203;0;N/A;N/A;0;0;CM1
F8:BB:05:65:86:CB;08-04-2020 08:37;11.130.6.116;W-Online;100;5.23;40.5;44.62;34.2;0;0;3;51;470;0;4;7;0;323833;0;32 bonding;OFDM;35;8;CM1
B4:2B:8C:B1:EC:40;08-04-2020 08:37;11.130.7.127;W-Online;100;3.54;39.5;45.9;39.7;0;0.05;2;2784;18985;0;1;6;0;1517251;0;24ch;QAM;65;26;CM1
00:1E:2B:87:D1:82;08-04-2020 08:37;11.116.115.3;Online;100;-0.8;44.5;37.3;40.1;0;0.05;0;3797;48;0;1;6;0;8197;1;N/A;N/A;0;0;CM1
B4:2B:8C:B2:02:B8;08-04-2020 08:37;11.130.8.63;P-Online;100;-1.47;51;46.72;37;0;0;0;23;5172;0;8;7;0;2386585;0;24ch;QAM;64;6;CM1
00:1F:33:B9:F2:54;08-04-2020 08:37;11.130.8.174;Online;100;3.7;46.5;39.6;42.1;0;0.01;1;86;0;0;1;7;0;5651706;0;N/A;N/A;0;0;CM1
B4:2B:8C:B2:10:C8;08-04-2020 08:37;11.130.8.200;W-Online;100;-0.48;45.7;44.78;44.1;0;0;3;270;1433;0;1;6;0;160410;0;24ch;QAM;64;4;CM1
B4:2B:8C:B2:1B:10;08-04-2020 08:37;11.130.8.221;W-Online;100;9.08;41;45.14;45.1;0;0;3;124;15;0;0;6;0;11507929;0;24ch;QAM;64;5;CM1
00:21:4C:CC:9B:B6;08-04-2020 08:37;11.130.2.116;Online;100;0.8;42;36.1;43.3;0;0;48;3236;2;0;1;6;0;822608;1;N/A;N/A;0;0;CM1
B4:2B:8C:B2:25:B0;08-04-2020 08:37;11.130.8.1;W-Online;95;-1.12;50.9;43.24;39.1;0;0.01;1;90;17012;0;1;6;0;4027069;0;24ch;QAM;64;7;CM1
00:24:B2:B1:5F:B4;08-04-2020 08:37;11.130.1.27;Online;100;-3.8;52;38.7;42.1;0;0;1;406;3;0;0;6;0;13396687;8;N/A;N/A;0;0;CM1
00:21:4C:CC:E6:7D;08-04-2020 08:37;11.130.6.158;Online;N/A;-2.8;50.7;35.5;41.1;0;0;0;2;0;0;1;7;0;1954;1;N/A;N/A;0;0;CM1
B4:2B:8C:B2:39:40;08-04-2020 08:37;11.130.8.224;W-Online;100;-2.9;43.9;41.26;45.1;0;0;2;440;2225;0;0;6;0;11506556;0;24ch;QAM;65;4;CM1
B4:2B:8C:B2:2D:F0;08-04-2020 08:37;11.130.8.225;W-Online;100;4.73;44.2;44.48;45.1;0;0;2;229;52;0;1;6;0;11333140;1;24ch;QAM;65;19;CM1
00:26:F2:31:B0:5F;08-04-2020 08:37;11.130.1.180;Online;100;1.5;50.5;40.8;45.1;0.01;0.01;1;152;1;0;3;8;0;31565102;107;N/A;N/A;0;0;CM1
00:26:F2:D4:67:86;08-04-2020 08:37;11.116.115.96;Online;100;4.3;42.2;38;41.1;0;0;1;272;714;0;1;7;0;1436990;1;N/A;N/A;0;0;CM1
B4:2B:8C:B2:3B:C8;08-04-2020 08:37;11.130.8.136;W-Online;100;2.98;42;42.54;45.1;0;0;3;161;16;0;0;6;0;7743643;0;24ch;QAM;64;6;CM1
B4:2B:8C:B2:48:78;08-04-2020 08:37;11.130.8.182;W-Online;100;7.24;45.7;46.58;44.1;0;0;10;460;858;0;1;6;0;18088;0;24ch;QAM;64;2;CM1
00:8E:F2:35:BB:C8;08-04-2020 08:37;11.130.8.11;W-Online;100;8.86;40;43.29;43.3;0;0;1;2667;11;0;0;6;0;20432706;5;24ch;QAM;58;5;CM1
00:8E:F2:36:06:90;08-04-2020 08:37;11.130.0.11;W-Online;100;-0.64;41.4;44.24;37.9;0;0.05;0;5344;4195;0;1;7;0;20954971;12;24ch;QAM;58;5;CM1
00:8E:F2:36:33:58;08-04-2020 08:37;11.130.2.159;W-Online;N/A;7.32;41.7;44.25;38.6;0;0.05;0;3847;3845;0;1;6;0;4537;0;24ch;QAM;57;2;CM1
B4:2B:8C:B2:5B:D0;08-04-2020 08:37;11.130.2.50;W-Online;100;6.04;38.9;45.54;39.7;0.01;0;2;31;491;0;1;6;0;6183909;0;24ch;QAM;64;24;CM1
B4:2B:8C:B2:87:68;08-04-2020 08:37;11.130.8.167;W-Online;100;6.85;42.9;46.39;44.1;0;0;2;114;65;0;2;7;0;1936077;0;24ch;QAM;64;3;CM1
B4:2B:8C:B2:8B:88;08-04-2020 08:37;11.130.8.208;W-Online;100;7.24;43.2;45.29;43.3;0;0;2;307;1526;0;0;6;0;11509296;0;24ch;QAM;64;2;CM1
B4:2B:8C:B2:96:C8;08-04-2020 08:37;11.130.7.96;W-Online;100;11.31;36.5;47.16;37.3;0;0;1;18;68;0;1;6;0;1787129;0;24ch;QAM;64;26;CM1
00:CB:51:60:B8:3D;08-04-2020 08:37;11.130.2.42;W-Online;100;0.57;42.5;43.08;41.6;0;0;1;7;2;0;15;13;0;1235218;0;32 bonding;OFDM;35;5;CM1
00:CB:51:60:B7:E8;08-04-2020 08:37;11.130.1.245;W-Online;100;-0.58;48;45.55;45.1;0;0;1;25;3;0;7;9;0;8447244;0;24 bonding;OFDM;33;7;CM1
B4:2B:8C:B2:B9:40;08-04-2020 08:37;11.130.1.43;W-Online;N/A;5.78;42.4;46.29;43.3;0.01;0.01;1;61;37;0;3;7;0;3981;0;24ch;QAM;64;11;CM1
B4:2B:8C:B2:B1:30;08-04-2020 08:37;11.130.8.78;W-Online;100;7.12;43;45.26;45.1;0;0;3;282;278;0;1;6;0;11506194;0;24ch;QAM;65;5;CM1
00:CB:51:60:B0:CC;08-04-2020 08:37;11.130.2.148;W-Online;100;-3.2;42.8;44.11;41.3;0;0;3;53;32;0;14;14;0;3022779;0;32 bonding;OFDM;36;4;CM1
B4:2B:8C:B2:B5:98;08-04-2020 08:37;11.130.8.207;W-Online;100;7.21;42.7;43.74;42.7;0;0;2;105;20;0;1;6;0;11504860;0;24ch;QAM;65;7;CM1
00:CB:51:61:71:14;08-04-2020 08:37;11.130.0.115;W-Online;100;5.59;39.3;45.93;38.6;0;0.01;1;13;56;0;1;7;0;127704;0;24 bonding;OFDM;32;1;CM1
B4:2B:8C:B2:BD:90;08-04-2020 08:37;11.130.8.223;W-Online;100;6.03;39.1;46.66;45.1;0;0;2;432;25;0;1;6;0;11507944;0;24ch;QAM;64;7;CM1
00:CB:51:61:57:75;08-04-2020 08:37;11.130.3.22;W-Online;100;4.21;42.3;44.75;45.1;0;0;0;33;81;0;13;9;0;386240;0;32 bonding;OFDM;35;6;CM1
B4:2B:8C:B2:CB:D0;08-04-2020 08:37;11.130.8.190;W-Online;100;3.76;41.2;42.27;28.8;0;0;2;306;7;0;0;6;0;518421;0;24ch;QAM;65;7;CM1
00:CB:51:61:24:53;08-04-2020 08:37;11.130.0.221;W-Online;100;4.56;34.2;45.57;43;0.01;0.01;2;2;1409;0;2;7;0;79353;0;Mix Bonding;OFDM;36;1;CM1
00:CB:51:61:27:C5;08-04-2020 08:37;11.116.115.62;W-Online;100;2.49;30.7;43.27;37;0;0;2;42;940;0;1;7;0;3057536;0;Mix Bonding;OFDM;37;4;CM1
B4:2B:8C:B3:F8:90;08-04-2020 08:38;11.130.8.32;W-Online;100;4.63;46;46.06;40;0;0.01;1;25;706;0;1;6;0;6120717;0;24ch;QAM;64;6;CM1
00:CB:51:61:81:28;08-04-2020 08:37;11.130.7.82;W-Online;100;-3.72;50;43.5;37;0;0;2;30;58;0;2;7;0;1069708;0;32 bonding;OFDM;35;8;CM1
00:CB:51:61:E3:1B;08-04-2020 08:37;11.116.115.166;W-Online;65;-18.18;57;34.94;19.9;0;0;4804;85217;226331;0;0;6;0;5690029;0;24 bonding;OFDM;0;7;CM1
00:CB:51:61:97:EF;08-04-2020 08:37;11.130.6.219;W-Online;100;3.37;44.3;46.25;43.3;0.01;0.01;1;0;159;0;3;7;0;565893;1;32 bonding;OFDM;35;4;CM1
B4:2B:8C:B4:0B:C8;08-04-2020 08:38;11.130.8.65;W-Online;100;6.3;39.2;47.09;44.1;0;0;3;249;188;0;1;6;0;1338622;0;24ch;QAM;64;4;CM1
00:CB:51:61:B9:36;08-04-2020 08:37;11.116.115.181;P-Online;100;6.67;46.3;45.17;42.1;0.01;0.01;1;2;3;0;2;8;0;216514;0;32 bonding;OFDM;35;11;CM1
00:CB:51:62:68:1B;08-04-2020 08:38;11.136.62.39;W-Online;100;1.1;43;44.92;45.1;0;0;2;13;6;0;3;8;0;3745416;0;24 bonding;OFDM;34;4;CM1
B4:2B:8C:B4:42:C8;08-04-2020 08:38;11.130.8.153;W-Online;100;2.55;43.4;45.55;45.1;0;0;2;358;552;0;1;6;0;11507786;0;24ch;QAM;65;3;CM1
B4:2B:8C:B4:5B:68;08-04-2020 08:38;11.130.9.6;W-Online;100;3.87;42.2;45.24;41.1;0;0;4;137;6;0;1;7;0;3510020;6;24ch;QAM;64;5;CM1
00:CB:51:62:91:02;08-04-2020 08:38;11.130.3.13;W-Online;100;6.98;42;46.88;38.6;0;0;1;5;7;0;6;9;0;5943490;0;24 bonding;OFDM;33;11;CM1
B4:2B:8C:B4:98:00;08-04-2020 08:38;11.136.62.113;W-Online;100;4.29;39.2;42.98;39.7;0;0;2;219;0;0;1;6;0;10230;0;24ch;QAM;64;9;CM1
00:CB:51:EB:24:5B;08-04-2020 08:38;11.130.7.219;W-Online;100;3.7;44.8;46.3;38.8;0;0.01;1;0;21;0;0;6;0;4196489;0;24 bonding;OFDM;35;5;CM1
00:CB:51:61:E6:B6;08-04-2020 08:37;11.116.115.219;W-Online;100;7.55;41.3;46.49;45.1;0;0;1;0;0;0;0;6;0;2020404;0;32 bonding;OFDM;35;8;CM1
00:CB:51:62:15:CC;08-04-2020 08:38;11.130.1.202;W-Online;100;4.45;38.8;43.41;42.1;0;0;1;3;38;0;2;7;0;1595727;0;32 bonding;OFDM;35;6;CM1
B4:2B:8C:B4:98:50;08-04-2020 08:38;11.130.8.57;W-Online;100;3.75;48.7;45.92;45.1;0;0;5;343;2025;0;1;6;0;11507918;1;24ch;QAM;65;6;CM1
20:0C:C8:26:BE:6E;08-04-2020 08:38;11.116.115.254;W-Online;100;-1.36;47.7;40.72;42.7;0;0;0;1;0;0;0;6;0;79921;0;24ch;QAM;80;10;CM1
00:CB:51:EB:98:75;08-04-2020 08:38;11.130.2.204;W-Online;100;-0.16;44.3;44.85;45.1;0;0;0;0;6;0;0;6;0;12327000;0;24 bonding;OFDM;34;3;CM1
B4:2B:8C:B4:B4:38;08-04-2020 08:38;11.130.1.96;W-Online;100;4.88;47.5;46.26;42.1;0.01;0;2;9;2068;0;1;6;0;11422264;0;24ch;QAM;64;12;CM1
B4:2B:8C:B4:B1:F0;08-04-2020 08:38;11.116.115.186;W-Online;100;2.56;43.5;46.48;39.4;0;0.05;1;3531;1867;0;0;6;0;2577370;0;24ch;QAM;64;5;CM1
00:CB:51:62:80:2B;08-04-2020 08:38;11.116.115.47;W-Online;100;6.44;43.3;45.18;45.1;0;0;1;9;1;0;1;5;0;1069092;0;32 bonding;OFDM;35;8;CM1
B4:2B:8C:B8:23:F0;08-04-2020 08:38;11.130.0.74;W-Online;100;5.26;40.2;45.83;42.1;0;0;2;71;43;0;1;6;0;10990764;1;24ch;QAM;64;8;CM1
00:CB:51:62:41:B6;08-04-2020 08:38;11.130.0.113;W-Online;100;4.17;30.5;43.46;39.2;0;0;1;11;45;0;2;6;0;1136322;0;Mix Bonding;OFDM;37;14;CM1
00:CB:51:EB:5F:B3;08-04-2020 08:38;11.130.2.97;W-Online;100;-5.29;45.5;43.39;38.6;0;0;1139;34;118;0;5;7;0;355307;0;32 bonding;OFDM;35;6;CM1
28:9E:FC:0B:8B:E3;08-04-2020 08:38;11.116.115.200;W-Online;100;-0.03;44.8;45.75;45.1;0;0;0;0;1;0;0;6;0;178306;0;24 bonding;OFDM;32;5;CM1
00:CB:51:EB:B0:62;08-04-2020 08:38;11.130.0.128;W-Online;100;5.12;43.5;45.13;45.1;0;0;0;6;226;0;8;11;0;4256623;0;32 bonding;OFDM;36;12;CM1
B4:2B:8C:B9:52:B8;08-04-2020 08:38;11.130.8.229;W-Online;100;4.23;45.9;44.61;45.1;0;0;3;1145;4310;0;0;6;0;11506300;0;24ch;QAM;64;6;CM1
B4:2B:8C:B9:54:B0;08-04-2020 08:38;11.130.3.7;W-Online;100;-0.7;46.7;45.36;43.3;0;0;1;135;4161;0;16;8;0;3205513;0;24ch;QAM;64;7;CM1
00:CB:51:EB:EB:C6;08-04-2020 08:38;11.130.7.55;W-Online;100;-2.88;39.7;44.93;44.7;0;0;0;14;3;0.151515;5;7;0;736808;0;Mix Bonding;OFDM;36;13;CM1
