MBC [IDX];Last Successful Poll;IP;Registration Status Group;CM Score;CM DS Avg Pwr;CM US Avg Pwr;CM DS Avg MER;CM US Avg MER;CM Uncorr Codewords;CM Corr Codewords;Flap Ins;Flap Power Adjustment;Flap Total Num;Flap Miss/Hit Ratio;CM Jitter;CM Latency;Packet Loss Rate;CM UpTime;Status Resets;CM DS Ch Set;CM US Ch Set;Memory Utilization;Processor Utilization;Device Name
B8:66:85:E5:C7:FF;08-04-2020 08:41;11.130.8.87;W-Online;100;7.48;35.5;45.39;44.1;0;0;1;9;0;0;0;5;0;1659591;0;32 bonding;OFDM;35;6;CM1
28:9E:FC:08:EB:B9;08-04-2020 08:41;11.130.0.28;W-Online;100;2.19;44.3;46.19;45.1;0;0;0;0;0;0;0;6;0;7321723;0;24 bonding;OFDM;33;4;CM1
B8:66:85:E5:CB:3D;08-04-2020 08:41;11.130.1.67;W-Online;100;0.85;39.8;43.2;40;0;0.05;0;0;1958;0;0;6;0;2296197;2105;32 bonding;OFDM;42;2;CM1
B8:66:85:E5:8F:65;08-04-2020 08:40;11.130.1.191;W-Online;100;4.38;33.2;46.11;43;0.01;0.01;1;12;873;0;0;6;0;2747521;0;Mix Bonding;OFDM;37;4;CM1
B8:66:85:E9:D6:57;08-04-2020 08:41;11.130.1.157;W-Online;100;-0.66;47.8;45.13;39.1;0;0.01;1;61;5;0;0;6;0;3258208;0;24 bonding;OFDM;33;7;CM1
28:9E:FC:08:ED:7B;08-04-2020 08:41;11.130.2.170;W-Online;100;2.44;44.5;46.18;45.1;0;0;0;0;0;0;1;6;0;7321680;0;24 bonding;OFDM;33;5;CM1
B8:66:85:E9:B0:B7;08-04-2020 08:41;11.130.7.42;W-Online;100;1.41;43;45.91;45.1;0;0;0;5;31;0;0;6;0;141776;0;24 bonding;OFDM;32;17;CM1
28:9E:FC:09:28:28;08-04-2020 08:41;11.116.115.155;W-Online;100;1.5;43.8;45.96;45.1;0;0;0;0;2;0;0;6;0;8186287;0;24 bonding;OFDM;33;5;CM1
B8:66:85:EB:0D:E0;08-04-2020 08:41;11.130.7.214;W-Online;100;4.93;44.8;46.33;39.1;0;0.01;1;0;68;0;1;6;0;6217575;1;24 bonding;OFDM;39;9;CM1
B8:66:85:E9:96:15;08-04-2020 08:41;11.130.1.119;W-Online;100;6.57;42.8;45.28;45.1;0;0;0;6;3;0;1;5;0;2322834;0;32 bonding;OFDM;36;7;CM1
28:9E:FC:09:2B:93;08-04-2020 08:41;11.130.2.111;W-Online;100;3.94;39.8;44.29;40.3;0;0;3;6;152;0;0;6;0;12396362;0;24 bonding;OFDM;35;4;CM1
28:9E:FC:09:40:2B;08-04-2020 08:41;11.130.2.119;P-Online;100;-0.26;50.8;45.95;42.1;0.01;0.01;1;4;4;0;2;7;0;2289226;0;24 bonding;OFDM;33;7;CM1
B8:66:85:E9:94:B7;08-04-2020 08:41;11.130.7.195;W-Online;100;2.32;32.5;43.89;37.2;0;0;1;33;2613;0.152439;1;6;0;483708;0;Mix Bonding;OFDM;36;4;CM1
28:9E:FC:09:0F:15;08-04-2020 08:41;11.130.3.32;W-Online;100;2.58;39.3;44;41.6;0;0;5616;99227;33;0;7;7;0;2408399;0;32 bonding;OFDM;36;5;CM1
B8:66:85:E9:D9:91;08-04-2020 08:41;11.130.0.58;W-Online;100;-1.55;43.5;43.52;41.1;0;0;3;42;106;0;1;6;0;2535887;0;32 bonding;OFDM;36;6;CM1
28:9E:FC:09:30:CC;08-04-2020 08:41;11.130.0.173;W-Online;100;6.44;47.3;46.91;40.3;0;0;1;20;143;0;1;6;0;164937;0;24 bonding;OFDM;32;9;CM1
28:9E:FC:09:59:B4;08-04-2020 08:41;11.130.1.181;W-Online;100;3.92;48.3;45.6;39.4;0;0.01;1;0;21;0;4;7;0;8433501;1;24 bonding;OFDM;39;6;CM1
28:9E:FC:09:1F:8B;08-04-2020 08:41;11.130.0.99;W-Online;100;2.99;35.2;44.2;39;0.01;0;0;16;457;0;0;6;0;223722;0;Mix Bonding;OFDM;36;10;CM1
28:9E:FC:09:2D:30;08-04-2020 08:41;11.130.8.111;W-Online;100;2.24;43.8;44.05;40;0;0;66;1219;3549;0;1;6;0;1105360;0;32 bonding;OFDM;36;11;CM1
B8:66:85:EB:1B:00;08-04-2020 08:41;11.130.0.225;W-Online;100;2.08;44.8;44.89;42.7;0;0;0;19;0;0;1;5;0;3541475;0;32 bonding;OFDM;36;11;CM1
28:9E:FC:09:5F:1E;08-04-2020 08:41;11.116.115.247;W-Online;100;-0.82;45;44.28;40.3;0;0.05;0;5;234;0;1;6;0;9308878;0;24 bonding;OFDM;34;4;CM1
B8:66:85:EB:10:B3;08-04-2020 08:41;11.130.8.86;W-Online;100;-3.25;36.7;43.4;36.8;0;0;0;3;24;0;1;7;0;2862400;0;Mix Bonding;OFDM;37;6;CM1
B8:66:85:EB:25:BB;08-04-2020 08:41;11.130.1.160;W-Online;100;6.11;37.5;44.8;45.1;0;0;0;0;78;0;0;5;0;3875767;0;32 bonding;OFDM;36;5;CM1
28:9E:FC:09:BC:BB;08-04-2020 08:41;11.130.0.122;P-Online;100;3.82;40.5;45.25;39.7;0;0;1;3;35;0;0;6;0;15689302;0;32 bonding;OFDM;34;25;CM1
B8:66:85:EB:34:D0;08-04-2020 08:41;11.130.3.33;W-Online;100;7.47;42;44.97;45.1;0.01;0.01;1;0;64;0;3;8;0;3323194;0;32 bonding;OFDM;36;8;CM1
B8:66:85:EB:38:E3;08-04-2020 08:41;11.130.1.32;W-Online;100;3.79;37.3;45.07;34.3;0;0;0;30;620;0;0;6;0;569539;0;32 bonding;OFDM;35;11;CM1
28:9E:FC:09:82:B8;08-04-2020 08:41;11.130.1.63;W-Online;100;6.71;40.3;45.27;45.1;0;0;2;1;24;0;0;6;0;1816031;0;32 bonding;OFDM;35;3;CM1
28:9E:FC:09:BE:46;08-04-2020 08:41;11.130.2.175;W-Online;100;1.75;44;46.1;39.4;0;0.01;1;37;790;0;1;6;0;435760;0;24 bonding;OFDM;32;11;CM1
B8:66:85:EB:70:5E;08-04-2020 08:41;11.130.1.215;W-Online;100;8.21;45.3;46.89;41.1;0;0;1;6;38;0;1;6;0;4560508;0;24 bonding;OFDM;33;12;CM1
28:9E:FC:09:8F:53;08-04-2020 08:41;11.130.3.51;W-Online;100;-0.73;42.5;44.7;34;0;0;0;9;90;0;0;6;0;3534221;0;32 bonding;OFDM;37;11;CM1
